Reference, Quantity, Value, Footprint, Datasheet, Manufacturer part#, Vendor, Vendor part#, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
IC2 ,1,"27C256","Package_DIP:DIP-28_W15.24mm_Socket","https://ww1.microchip.com/downloads/en/DeviceDoc/doc0014.pdf","AT27C256R-45PU","digikey","AT27C256R-45PU-ND","","","","","","","","","","",""
IC3 ,1,"SN74LS245N","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1810010228_Texas-Instruments-SN74LS245DWR_C129580.pdf","SN74LS245DWR","JLCPCB","C129580","","","","","","","","","","",""
IC36 ,1,"MC78L08_TO92","Package_TO_SOT_THT:TO-92_Inline","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fua78l","UA78L08ACLPRE3","digikey","296-UA78L08ACLPRE3CT-ND","","","","","","","","","","",""
IC5 IC4 ,2,"W65C21N6TPLG-14","Package_LCC:PLCC-44_THT-Socket","https://www.mouser.com/datasheet/2/436/w65c21-661.pdf"
IC6 ,1,"TCC1014","Package_LCC:PLCC-68_THT-Socket","http://www.assmann-wsw.com/uploads/datasheets/ASS_7007_CO.pdf","A-CCS 068-G-T","digikey","AE11249-ND","","","","","","","","","","",""
IC7 ,1,"SC77526","Package_DIP:DIP-20_W7.62mm_Socket","http://www.cnctech.us/pdfs/243-XX-1-XX_.pdf","243-20-1-03","digikey","1175-1479-ND","","","","","","","","","","",""
IC9 ,1,"74LS138","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/2004251708_XINLUDA-XL74LS138_C513515.pdf","XL74LS138","JLCPCB","C513515","","","","","","","","","","",""
J1001 ,1,"RGB_2_ADAPTER_ADAPTER","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/75867.pdf","75867-131LF","digikey","609-2846-ND","","","","","","","","","","",""
J1002 ,1,"Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J5 ,1,"SJ-435107RS","coco2:CUI_SJ-435107RS","https://www.cuidevices.com/product/resource/sj-435107.pdf","","","","","","","","","Good","3.5 mm Right Angle Shielded _0.141, 1/8, Mini Plug_ Female HeadPhone Jack","CUI","SJ-435107RS","None","1.04 USD"
